Ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
1,-24,29,-135,0,0.04846002833,0,2.870339827,0
1,74,-55,18,0,-0.002138831659,0.04353815108,2.196690979,0
1,16,3,-91,0,-0.1001710972,-0.00005444399563,0.6656504374,0
1,138,33,-61,0.1004691153,0.0009449865201,0.08076770314,2.064778386,0
1,-146,48,43,-0.0000278983413,0,-0.09644168483,0.7837833001,0
1,-41,10,1,0.0004649335157,0,-0.002194580939,0.5055265336,0
1,148,0,69,-0.000002241719459,0,0,0.619290286,0
1,155,16,-24,0,0.03719222404,-0.0008614626877,1.825561202,0
1,172,28,0,0.0005978499869,0,-0.105694289,0.3612041709,0
1,5,27,-151,0.003078139332,0,-0.00002158838092,1.407468754,0
1,-40,42,90,0,0,-0.0169464892,0.7073033251,0
1,82,65,99,-0.08200948313,-0.00176927918,-0.02324453586,1.18804296,0
1,-128,70,75,-0.002791786721,0.00000005152424004,0.1054054073,0.1443954472,0
1,-80,-68,-29,-0.0498411941,0.09477665295,0.03079896869,0.6314053335,0
1,52,-26,-70,0.000003601062032,-0.01680497866,0,0.1210639328,0
1,-60,70,-71,0,0,0.000009159649913,0.934945288,0
1,76,-41,-55,-0.07537214078,-0.02391322859,-0.0002573958543,0.3010804122,0
1,-130,79,-15,0.01149943948,0,0,2.088264645,0
1,148,-51,19,-0.0001341158954,0.01868511062,-0.09370750231,0.8788902404,0
1,111,35,40,0,-0.1181021615,-0.06737208231,0.2406758427,0
1,-63,17,-106,0,0.03766505731,0.05680561478,1.151232929,0
1,-106,24,115,-0.01351134219,0,-0.03900521332,0.5694722436,0
1,-13,-4,-152,-0.03737290087,0.01174507853,-0.0160259619,0.4631169566,0
1,142,-32,123,0.00018881652,0,0,1.942125006,0
1,92,85,27,-0.002976878283,0.07691356896,0,0.2200909422,0
1,-36,-69,164,0.05622218419,0,-0.003228113808,0.3890705426,0
1,-154,-30,33,0,-0.1029203298,0.0000005434691053,1.277999703,0
1,9,-63,-23,0.06874733518,0.00000004720068306,-0.03942370558,0.9492370865,0
1,18,-59,-139,0.00572423299,0,0.0002302876107,2.945807401,0
1,163,-47,-58,-0.00003690694819,-0.01634468001,-0.004853362574,2.094881754,0
1,125,-62,145,-0.001980729436,0.08339575354,0.000002630778506,2.930842546,0
1,-34,-53,-3,0.000002623769856,-0.04347180159,0.001875446323,2.376001998,0
1,-60,-1,-73,0.0006001539577,0,0,0.4151400763,0
1,-140,-41,-16,0.0186763022,-0.01135568574,0.1073158251,2.087184572,0
1,-8,5,159,0,0.000000001083510185,-0.1178269395,0.5097048358,0
1,77,-48,-95,-0.1214885034,0.02462471643,0,0.745420886,0
1,-57,2,14,0,0.01248643949,0.00008769928798,1.788202537,0
1,-55,-70,-164,-0.000005773889769,0,0.1208783832,2.00799874,0
1,116,35,-105,0.001644849987,0.07258623473,0,0.1472056384,0
1,-141,0,103,0.0000001775426697,-0.0002118573646,0.04332995968,0.3698641856,0
1,30,14,-113,0.002448312899,0,0,1.542235116,0
1,-20,-90,-180,0.008524515907,-0.0492669497,-0.003662306689,0.06126808102,0
1,33,-58,19,-0.003997361779,-0.01579073537,-0.002967437545,1.612656885,0
1,92,-57,169,-0.01262566329,0,0,0.5787956196,0
1,1,87,18,-0.02012519097,0,0.00000004182730373,1.489201951,0
1,-122,20,90,0,-0.001502230274,-0.01292654147,1.173188823,0
1,-106,86,-168,0,0,0.03245137258,0.1004975525,0
1,-168,58,-43,0.0003094170171,0,0.0003683511145,0.2103938231,0
1,-160,-50,-46,0.005053049481,0,0,0.2849937669,0
1,177,32,62,-0.008297373911,0,-0.04475334865,1.976872953,0
1,-157,52,7,0,-0.004364242037,-0.01231561222,0.7953096498,0
1,-174,-16,-62,0.0007558633917,0,-0.09928880538,1.478731726,0
1,136,73,30,-0.0004257427536,0,-0.05123696512,1.774346318,0
1,60,44,-21,0.000003705319106,-0.0001674390741,-0.002162721609,0.5867886124,0
1,176,-32,99,0,-0.02904977733,-0.01287656685,1.771213774,0
1,0,56,-7,0,0,0.06092915734,1.252399951,0
1,45,42,64,0.01240626159,0.05520826073,-0.02531091335,0.6142952054,0
1,103,-59,58,0.000338100544,0.03274494864,0,0.8051856865,0
1,-133,11,-176,0,-0.0883666328,0,1.245700666,0
1,33,-36,-50,-0.00143274158,0,0.03210792871,0.4701272299,0
1,47,-40,94,-0.006875286065,-0.03246963974,0,0.5355017139,0
1,86,-41,-85,-0.008037285601,0.000605223193,0.00441465792,1.204406305,0
1,17,-74,-44,-0.0004504616504,0,0,0.6811908588,0
1,-22,48,118,0,0,0.0001772835898,0.3976621641,0
1,89,66,-107,0,0,0.1238368011,1.244736576,0
1,98,-29,27,0,0,0.002283930487,0.05876137792,0
1,-58,2,-104,-0.0334630524,0.04578140168,-0.000009484613049,0.07532359635,0
1,60,-19,78,0.01510200046,0,-0.02000849094,1.253231613,0
1,21,49,108,0,0.00005477304227,0.1003390552,0.9141073363,0
1,38,-22,70,0.02849589423,-0.01019024832,0.0006412071814,0.02895780989,0
1,25,61,148,0.100708245,-0.07112024958,0.0006566524694,1.371813647,0
1,-14,12,100,-0.05962675342,0.07044815646,-0.00428298624,1.893554673,0
1,-77,41,12,0,0,0,1.218534347,0
1,-24,9,-98,-0.0002267083449,0,0.000580586896,1.287156394,0
1,-111,-6,104,0,0,-0.002758363775,0.6692577943,0
1,-145,27,84,0.003109641119,0,0,0.2051512666,0
1,-80,-63,-39,0,-0.02165396154,0,0.3889462288,0
1,45,43,133,-0.06345116159,0.004208053352,-0.01717328446,1.44563806,0
1,111,-64,60,-0.005541006177,0,0.06548494976,0.5664517688,0
1,130,-51,-108,0.01085790226,-0.112170956,0.0002258928687,2.599464313,0
1,-48,-59,-155,0.03374147191,0.0000000703977602,-0.02884044627,1.613503552,0
1,35,86,17,0.005662497084,0.02542498792,-0.03521636706,2.641967452,0
1,-37,46,107,0.01030220201,-0.01716589936,0.02815089747,1.590265783,0
1,161,39,52,0,-0.04723419548,0.03873832471,1.477437225,0
1,-32,53,-109,0.05940296785,0,-0.002277503511,0.293604869,0
1,61,-5,-99,0,0,0.0009189363161,1.636730572,0
1,-143,-24,-49,-0.04266308875,0,-0.0002912432646,2.947663223,0
1,167,33,-113,-0.05206449625,0,0,0.1407513747,0
1,153,-87,-75,0,0.02647991905,-0.00002409513234,0.8593249243,0
1,51,-4,-69,0.1086779151,0,0,0.2066808157,0
1,107,-21,-159,0.0001302779768,-0.06477574951,-0.0000000464008841,0.2210224423,0
1,-162,-8,27,0,0,0,0.6397891448,0
1,-170,64,130,0.08397319208,-0.07650525129,-0.0009559590397,0.5976483501,0
1,-172,-30,144,-0.01639748431,-0.07890947154,0.04527364648,0.4491036906,0
1,-77,56,-162,0.009485315756,0,0,0.7830699202,0
1,0,36,99,0.0005509027503,0,-0.009273559328,0.9871455801,0
1,173,-48,151,-0.003403647508,-0.00518124565,-0.05954805024,1.378702428,0
1,32,-32,122,0.001736861977,-0.01956508454,-0.001235916012,0.2807538711,0
1,-103,89,-52,0,0.006584033843,-0.0006146147845,0.08338235273,0
1,162,-64,-120,0,-0.001947706676,0.1063194664,0.6874431233,0
1,-173,-64,58,0.006679382213,0,-0.0001570398694,2.297155063,0
1,134,83,5,0,-0.00003599257411,0,0.03565787137,0
1,131,-43,76,0.004946939791,0.01811245001,0.01929981854,0.6988482919,0
1,161,54,-93,0.000001340079209,0,-0.08520999668,1.838890776,0
1,102,57,-73,0,0,0.05128690477,1.016249265,0
1,124,-87,149,0.0001742802071,0.05734496744,0,1.980061034,0
1,103,73,-180,0.004480366456,-0.001379756731,0,0.317935019,0
1,58,-73,160,0,0.1188100914,0,1.390006943,0
1,-128,-84,88,0,0,-0.03109970269,1.384264794,0
1,92,-51,-59,0,-0.03197825126,-0.04528662667,0.109427137,0
1,48,55,105,-0.0004696880387,0.0003514882979,0.01675363066,1.918816677,0
1,174,47,55,-0.001004375205,-0.06807643211,-0.01370524252,1.32808927,0
1,-69,-46,-2,0,0,0.05386387411,0.57253377,0
1,10,84,-24,-0.009089681613,0,0.008005702294,1.812431598,0
1,-17,-84,65,0.02855116563,-0.03413016613,0,0.4375446905,0
1,-113,19,102,0,0,-0.01074625686,1.052490456,0
1,139,34,-177,0.0513864791,0,0.0005071848305,1.495709554,0
1,46,78,162,0,0,0,0.1683904538,0
1,48,-43,-147,-0.08004037682,0,-0.06502813176,0.6296939286,0
1,0,-70,58,0,-0.001234496933,-0.00729579775,0.9625732312,0
1,111,10,127,-0.0004159623504,0,0,0.759305172,0
1,68,60,74,0.03247462853,0.0004664605067,-0.002182183188,0.560892354,0
1,96,11,21,0,0,0.03384496793,0.9118162138,0
1,74,-4,-137,-0.04781396408,0.0004077963015,0,0.7233640144,0
1,-23,7,-133,0,0,0.09258050097,1.167472784,0
1,-63,-14,126,0.02324160475,0,0.04498150803,0.9056500575,0
1,-162,64,77,0.01630379389,0.06232050027,0,0.8706356888,0
1,129,11,115,0,0,-0.0007690873929,0.1569272133,0
1,-48,-12,-146,-0.03724666406,0,-0.004051993847,0.6627331546,0
1,127,51,-72,0.006160550418,0.02574154983,0,0.906410411,0
1,-132,-8,-156,0.003085952677,-0.00003442130176,0.001900744572,0.7305443396,0
1,125,18,86,0,-0.005865954214,-0.04576988098,0.4230718577,0
1,-32,83,-81,-0.01732331759,0.009247666398,0.002710129333,0.4265278331,0
1,43,46,72,-0.00561239601,-0.0000546946135,0.03000231234,1.294550655,0
1,180,55,-164,-0.06798054324,0,0,0.8025685111,0
1,-82,-28,132,0,-0.1198620622,0,0.9162834233,0
1,73,79,-115,0.02104419444,0,-0.116148086,0.4105254092,0
1,53,80,141,0,0.03320856592,0.0003924119408,0.1501837274,0
1,-127,-7,147,0.02672341416,0.1005910623,0.003494652461,0.3416300837,0
1,10,-56,-98,0.0006631265103,-0.01586544946,0,0.9119456112,0
1,-159,-48,-9,0,-0.02174475627,0,1.778253535,0
1,-114,17,-145,-0.05918762488,-0.04231017371,0.07407773426,0.6625711647,0
1,-78,-90,177,0,0.002592414976,-0.06950669807,0.8065194055,0
1,28,73,91,-0.03530209922,0,-0.002673993626,0.4451107864,0
1,39,39,-21,-0.02710963614,0,0.00001740570511,2.569143996,0
1,4,43,12,0.05684318045,0.0003022234154,0,0.05337683801,0
1,63,-88,-152,0,0,-0.001768725502,0.05320167339,0
1,-113,49,24,-0.02506562526,-0.0880496132,0,1.37194705,0
1,-131,8,91,0,-0.03839702324,0.02375898462,1.175358716,0
1,-147,-88,-146,0,0.08370830223,0.1037846485,1.160343356,0
1,41,89,130,0.01699208831,0,-0.009802536105,2.927946969,0
1,67,-12,-55,0,0.1010404131,-0.02545792793,0.8888993404,0
1,113,61,113,0,0.00953250286,0,2.776617346,0
1,74,-80,-92,0,0,-0.09234805413,0.3374366592,0
1,104,-59,-142,0.01781494358,0,-0.00188708161,1.525007697,0
1,-15,-87,-74,-0.05029548669,0.009411246991,0,2.891772383,0
1,82,-4,-25,0,-0.003219097703,0,0.3252639304,0
1,79,49,120,0.05796121876,0.005546200144,0,1.33625369,0
1,108,62,76,0,0.0563877556,0,1.928053686,0
1,15,-63,-132,0.1010616321,0.03736621476,0.00002084079869,0.4491672254,0
1,-125,9,-133,-0.02334330456,-0.0003247652001,0.07748759089,0.6444553654,0
1,-137,-31,145,0,-0.005590690294,0.0001362583893,0.9281594802,0
1,102,27,67,0.03642799345,-0.0655285047,-0.06191318243,1.406677636,0
1,29,82,-65,-0.03609257003,-0.005418834828,-0.112800557,0.3675793317,0
1,30,-48,-91,-0.00175000867,0.01041752273,0.05023902764,2.978991722,0
1,-130,52,-168,0,-0.05147439316,0,0.01798818705,0
1,163,40,176,0,-0.04701451778,0,0.4072042214,0
1,-37,-25,-67,-0.00504795643,0.000001124948457,0,0.1278134187,0
1,-68,37,104,-0.00562060996,0.0000006058996298,0.00002475138688,0.7259187343,0
1,48,70,104,0.108649734,-0.0719096446,0,2.649516388,0
1,100,-19,-33,0,0,0,0.04351858277,0
1,-140,-55,-78,-0.00008522203742,0,0.02798306659,1.571250718,0
1,131,26,-116,0,-0.002945702573,0,1.743823253,0
1,-25,65,-98,0.007141135074,0,-0.03712473913,0.5928874442,0
1,80,-62,97,-0.003018110878,0.09014552579,0.03984050918,1.723117828,0
1,48,23,-140,-0.003605980054,0.02457801004,0.00341166024,0.8318089072,0
1,19,1,-91,0.00721337181,0.01495569723,-0.04443556367,1.659889152,0
1,170,-27,-77,0.06867061327,0.008214653751,-0.04669078091,1.781823034,0
1,81,-10,-47,0,0,0,0.2997928204,0
1,77,-43,-176,0,-0.03961880445,0,1.653047612,0
1,-72,7,-143,0,0.03995958635,0.03009893515,0.683904151,0
1,-29,68,148,0,-0.001841310915,-0.08138000533,0.7272234943,0
1,-162,-14,-179,0.0005353223054,0,0.001725412917,2.532905553,0
1,18,34,-99,0.009293921446,0.004041607477,-0.000005266844385,0.9593110026,0
1,-119,79,-96,0.0647991628,0,-0.03761893905,0.0009021541253,0
1,-55,66,40,-0.000000953808169,0,0,0.6194700701,0
1,108,67,88,-0.07544229091,0.001907637423,0.01650891459,2.593897353,0
1,-147,90,25,0,-0.00007248446924,0,0.3406370037,0
1,-119,-50,86,0,0.09095014605,-0.1248665729,0.8842465423,0
1,117,-69,-169,0,-0.08621521167,0,0.3740224379,0
1,-172,-17,5,0,-0.02528447402,-0.05051987409,0.1496586864,0
1,100,69,67,-0.01115499558,-0.1205612272,-0.01433194269,2.771760872,0
1,39,-87,18,0,-0.02252982726,-0.0457455125,0.7777164685,0
1,-50,-33,3,-0.01087166823,-0.06445132345,0.01031150145,0.5893069345,0
1,-18,-66,53,-0.02316140164,0.04482862152,-0.02755919903,0.700977377,0
1,-37,53,100,0.1154870492,0,-0.01668688464,0.05563445003,0
1,38,-90,-23,0.05241540481,0,-0.00006109273613,0.2439482723,0
1,120,-39,20,-0.001261953863,-0.00009116893846,0.009793931667,0.1459963247,0
1,91,83,46,0.08738900309,-0.01458262955,-0.06611488568,0.7874457968,0
1,-83,-50,43,0,0,-0.000493422341,0.1222934912,0
1,-18,30,120,0.003945935359,0,0.1066817103,0.9732351889,0
1,126,86,-56,0,0,0.11186732,0.03424034762,0
1,54,-70,143,0.01214802887,-0.1228085567,0,0.328155487,0
1,28,-72,-40,0.002152287162,0.01970937573,0.109131332,0.8251805081,0
1,-134,-86,100,-0.02465886613,-0.0713675251,0,1.949495406,0
1,5,-23,155,0.0317610205,-0.02575512531,-0.0001702595365,1.436661755,0
1,-26,24,93,0,0,0.02355588007,0.8813092229,0
1,-172,-16,46,0.00001823206656,0,0,0.7099390427,0
1,88,71,104,0.02166944636,0,-0.005326081222,0.2006495917,0
1,96,-59,-163,0,0,0,0.2507213399,0
1,-151,25,-4,0,0,0.09227185709,0.6003596707,0
1,24,-31,-107,0.03277596939,0.01723303113,0.006160607869,2.972710655,0
1,-15,74,-139,-0.0367492672,-0.01506179206,0.000007637013641,1.534062321,0
1,64,27,76,0,-0.06057982437,0.04210893589,0.92053255,0
1,148,-59,-79,0.00004656079167,0.01000014227,-0.009518818803,1.777524002,0
1,166,-16,107,-0.0000001220652349,-0.004576104054,-0.06767239635,1.319099106,0
1,-45,11,39,0.001296555444,-0.005400952602,0.09936865426,2.645181314,0
1,-96,83,92,-0.05102401564,0.02096273497,0,1.870777423,0
1,-64,-26,125,0.02033799679,-0.003613855683,-0.000559203042,0.8283969525,0
1,-70,-40,88,-0.03376446176,0,0.1094800878,0.715292063,0
1,151,80,-38,-0.01189359096,0,-0.04601185607,0.8917990712,0
1,-170,-49,83,-0.003378895138,-0.0009499803343,0.04112564599,0.5085498774,0
1,20,-36,9,-0.0008439036586,0,0,2.722712584,0
1,56,-29,14,0.05720944112,-0.08433596932,-0.08481171175,2.704464056,0
1,-29,86,52,0,0,0,0.3915326851,0
1,-60,46,-116,-0.01687897668,0.07387863971,0,0.02181022649,0
1,-88,-72,-102,0.1072743157,0,-0.0102388555,0.2919226014,0
1,142,15,-27,0.004720994182,-0.03971451828,0,0.281996079,0
1,-161,48,179,0.0000395600431,0.036822483,0,1.4597773,0
1,86,-90,1,0,-0.01852016251,-0.03400200466,0.1177829231,0
1,-142,15,75,0,-0.06490431183,0,0.6778341588,0
1,121,70,115,-0.005617491152,-0.0001957123441,0.01399793284,1.209916808,0
1,80,-89,38,0,-0.01599616468,0,0.504048733,0
1,-70,17,-173,0.06769373372,0,0,0.8801491949,0
1,-91,-36,101,0.01862090891,0,-0.1175746268,2.573175387,0
1,-12,68,-95,-0.008198918962,-0.03482383948,0.0008420779367,1.122300718,0
1,-84,60,-37,0.0192207552,0.1163658062,0.01851133688,0.3772477442,0
1,114,90,101,-0.09187511374,0,-0.00740082488,1.518197381,0
1,121,-8,-126,0,0.0158301291,0,2.434549465,0
1,109,-10,-25,0,-0.02264670584,0,1.85092106,0
1,-140,5,93,-0.003425796968,0,0.03823275998,1.591097054,0
1,-102,-14,170,0,-0.000243133616,-0.00004540205776,0.5282412125,0
1,129,79,-79,0.001476891335,0,-0.002486085292,1.180224057,0
1,19,12,-46,-0.04586230917,0,0.009604459927,0.9382723324,0
1,22,-67,136,0,-0.09829089212,-0.07599994281,0.8709824124,0
1,122,-21,-18,0,0.005584123256,0.008140149409,0.09959369416,0
1,-57,35,-132,0.09831898377,-0.02014242666,-0.05669877723,0.8090378805,0
1,-92,30,-51,0,0,-0.0000821034405,0.826547756,0
1,-179,-30,158,0,-0.005112520046,-0.008185864079,0.2039445885,0
1,-88,-16,-143,-0.04165707256,0,0,0.4279379273,0
1,-139,-67,-73,0.034820778,0,0.0314886365,0.3465962805,0
1,171,17,-39,-0.05657977229,-0.009998607648,-0.06857590244,0.2737942324,0
1,81,73,30,0,0,0.05052260223,0.6043123329,0
1,171,29,-116,0,0,-0.09447364615,0.2549772405,0
1,39,63,-126,0,0.002584532,0.009744269804,1.988158562,0
1,-151,-58,-21,0,-0.002308071492,0,1.932247356,0
1,-65,67,-40,0.08242936358,-0.02197002327,-0.0004147613529,0.1781560938,0
1,-96,0,74,-0.1043346186,0,0.00007767176979,1.696006022,0
1,31,-12,-9,-0.05871545423,0.07687652499,-0.03125165374,1.001511782,0
1,46,-16,95,-0.02263745215,-0.04034149789,-0.0002092256984,1.415163902,0
1,16,-37,70,0,0,-0.001076970299,0.2980068233,0
1,-53,60,-3,-0.001078962298,0.01840826377,0,2.159532635,0
1,-95,1,-2,0,0.009408923465,0.02410990042,0.527954798,0
1,-83,15,128,0.07754786359,-0.075397279,0.07063417466,0.3649780434,0
1,161,-13,62,0.07096141856,0,0,1.575008042,0
1,155,-16,118,-0.1077950629,0,0.02924424966,0.9605120704,0
1,118,-38,-82,-0.05074350252,0,0.0442725119,0.2082912778,0
1,47,-76,158,0,-0.004868589422,0.001812705977,0.3146712119,0
1,131,-39,-8,0,-0.1032976556,0.007136744984,0.5086021845,0
1,-117,-1,-97,-0.0002232733852,0.0000001643752348,-0.0007477096494,0.9951681063,0
1,-176,-19,-36,0,0,-0.112950611,0.8348341782,0
1,97,-74,-147,-0.007459403351,0,0,2.019378716,0
1,-123,25,-112,-0.000005225196201,0.0443683829,-0.0001775818186,0.2107766573,0
1,-48,79,-119,0,0,0,0.5166121098,0
1,144,-28,-144,0,-0.01589205369,0.02028660291,0.2111565319,0
1,66,-34,-79,-0.002525402514,0.02164340185,0,1.345234808,0
1,28,-41,-13,0,0.001942540509,0,0.658591691,0
1,-117,-46,8,0.01337121875,0,-0.001145052488,0.9104106168,0
1,-114,20,-112,0,-0.05590646976,0.004182800141,2.317102525,0
1,-156,-31,8,-0.08700862684,-0.0235677357,0,2.995615205,0
1,102,-28,-148,0,0,0,0.2303393541,0
1,-119,-40,-170,-0.008569041742,-0.04150636704,0.02661953585,0.1601713091,0
1,-159,4,145,0,0,0,1.252864538,0
1,70,51,3,-0.03797876896,0.1113411831,0,0.758874387,0
1,147,-69,-149,-0.05286056899,0.006987062019,0.03862510148,1.428957786,0
1,-75,52,77,0,-0.002933526213,-0.0003541135548,1.972184361,0
1,-151,13,-137,-0.0009592854848,0.05575836311,-0.01711880102,0.5479387488,0
1,166,-58,55,0,-0.06874254112,0,0.3585190982,0
1,168,-31,26,-0.03252035846,0,0,0.9209646153,0
1,29,31,-44,0.09392033454,0,0.001536947063,1.891792304,0
1,115,-88,7,0,-0.0006606686284,0,0.2741543054,0
1,160,90,-13,-0.02070219075,0.001122539554,-0.03686190115,0.2497587451,0
1,4,24,-17,0,0.0009436615713,-0.02338907388,0.5673271544,0
1,55,19,165,0,0,0,0.121630777,0
1,-172,-7,150,0.005108094246,0,-0.04491302881,0.03289693109,0
1,-1,41,69,0,0,0.0154678162,0.9471315486,0
1,121,-27,119,0,-0.09391874799,0.0004090043596,0.387883755,0
1,93,16,-28,0,0.004745938474,-0.0367581196,0.05969900426,0
1,158,35,-26,0,0.06646074643,0.008505150177,0.02604708028,0
1,-53,29,-55,0,0.00001598558702,0.05424985034,0.5365095923,0
1,-79,39,-133,0.05192947452,-0.01607037885,0,0.1509330571,0
1,-89,-59,-53,-0.09917661355,-0.09573986982,-0.05905551051,0.2994979503,0
1,31,-54,-124,0,0,0.0000000135119975,0.4968369205,0
1,-78,27,-154,0,0,-0.0008158151117,0.009699484854,0
1,-9,1,-101,0,0,-0.01411018486,0.09268938918,0
1,-4,-40,-134,-0.07174051045,-0.01695127872,0.00000006273803243,0.08203988728,0
1,-144,1,60,0,0,0,0.2638633765,0
1,58,-46,112,0,0.00820764532,0,1.062457618,0
1,152,29,-145,-0.1124633516,-0.006286437581,0,0.3733115413,0
1,162,-88,115,0.0001367605077,0,0.05140633403,0.6022304821,0
1,68,-35,-172,0,-0.000002213235229,0,0.0008475182101,0
