# Model Roll	Model Pitch 	Ref Roll 	Ref Pitch
7.093868255615234375e+01	7.121463775634765625e+01	6.526008465638535938e+01	7.446001821095063633e+01
7.177516937255859375e+01	7.059174346923828125e+01	6.613007619074949162e+01	7.401001638985701447e+01
7.262284851074218750e+01	6.996383666992187500e+01	6.700006857167721819e+01	7.356001475087268204e+01
7.348191833496093750e+01	6.933097839355468750e+01	6.787006171451217540e+01	7.311001327578686926e+01
7.435240936279296875e+01	6.869323730468750000e+01	6.874005554306363308e+01	7.266001194820958631e+01
7.523429107666015625e+01	6.805066680908203125e+01	6.961004998875995398e+01	7.221001075339007969e+01
7.612738800048828125e+01	6.740331268310546875e+01	7.048004498988663613e+01	7.176000967805245523e+01
7.703149414062500000e+01	6.675125122070312500e+01	7.135004049090063916e+01	7.131000871024862420e+01
7.794625854492187500e+01	6.609453582763671875e+01	7.222003644181324944e+01	7.086000783922514756e+01
7.887125396728515625e+01	6.543328094482421875e+01	7.309003279763460625e+01	7.041000705530399273e+01
7.980600738525390625e+01	6.476756286621093750e+01	7.396002951787383495e+01	6.996000634977501420e+01
8.074992370605468750e+01	6.409747314453125000e+01	7.483002656608913128e+01	6.951000571479887924e+01
8.170235443115234375e+01	6.342315673828125000e+01	7.570002390948289417e+01	6.906000514332035323e+01
8.266254425048828125e+01	6.274472808837890625e+01	7.657002151853728833e+01	6.861000462898972785e+01
8.362968444824218750e+01	6.206231689453125000e+01	7.744001936668622932e+01	6.816000416609217893e+01
8.460286712646484375e+01	6.137608718872070312e+01	7.831001743002028093e+01	6.771000374948437184e+01
8.558113098144531250e+01	6.068618392944335938e+01	7.918001568702094062e+01	6.726000337453736222e+01
8.656343078613281250e+01	5.999280166625976562e+01	8.005001411832151348e+01	6.681000303708506749e+01
8.754865264892578125e+01	5.929611587524414062e+01	8.092001270649204514e+01	6.636000273337799626e+01
8.853564453125000000e+01	5.859634399414062500e+01	8.179001143584552835e+01	6.591000246004161056e+01
8.952317047119140625e+01	5.789368057250976562e+01	8.266001029226364949e+01	6.546000221403886599e+01
9.050995635986328125e+01	5.718836975097656250e+01	8.353000926303997176e+01	6.501000199263641832e+01
9.149470520019531250e+01	5.648067855834960938e+01	8.440000833673865088e+01	6.456000179337418388e+01
9.249024200439453125e+01	5.576830291748046875e+01	8.527000750306747534e+01	6.411000161403819675e+01
9.359243011474609375e+01	5.504122161865234375e+01	8.614000675276339791e+01	6.366000145263576826e+01
9.493107604980468750e+01	5.428836059570312500e+01	8.701000607748974858e+01	6.321000130737365197e+01
9.651364898681640625e+01	5.351332092285156250e+01	8.788000546974345184e+01	6.276000117663767242e+01
9.814827728271484375e+01	5.268605041503906250e+01	8.875000492277177955e+01	6.231000105897534525e+01
9.975233459472656250e+01	5.180577468872070312e+01	8.962000443049727494e+01	6.186000095307923630e+01
1.012965698242187500e+02	5.088949584960937500e+01	9.049000398745022267e+01	6.141000085777269391e+01
1.027697296142578125e+02	4.995252609252929688e+01	9.136000358870788318e+01	6.096000077199682465e+01
1.041705703735351562e+02	4.900690841674804688e+01	9.223000322983978094e+01	6.051000069479858468e+01
1.055035781860351562e+02	4.806168746948242188e+01	9.310000290685847801e+01	6.006000062532018546e+01
1.067761077880859375e+02	4.712325668334960938e+01	9.397000261617530725e+01	5.961000056278953707e+01
1.079963836669921875e+02	4.619580078125000000e+01	9.484000235456046823e+01	5.916000050651202002e+01
1.091723556518554688e+02	4.528178787231445312e+01	9.571000211910710220e+01	5.871000045586220040e+01
1.103110504150390625e+02	4.438249588012695312e+01	9.658000190719906186e+01	5.826000041027734255e+01
1.114130020141601562e+02	4.349619293212890625e+01	9.745000171648183596e+01	5.781000036925101426e+01
1.124726867675781250e+02	4.261974334716796875e+01	9.832000154483633025e+01	5.736000033232735262e+01
1.134946594238281250e+02	4.175571441650390625e+01	9.919000139035537700e+01	5.691000029909597657e+01
1.144842147827148438e+02	4.090535354614257812e+01	1.000600012513225039e+02	5.646000026918774495e+01
1.154456634521484375e+02	4.006916427612304688e+01	1.009300011261929342e+02	5.601000024227035823e+01
1.163877105712890625e+02	3.924323654174804688e+01	1.018000010135763205e+02	5.556000021804468503e+01
1.173009338378906250e+02	3.842730712890625000e+01	1.026700009122213686e+02	5.511000019624162860e+01
1.184061279296875000e+02	3.797504425048828125e+01	1.035400008210019109e+02	5.466000017661885835e+01
1.196837539672851562e+02	3.775500869750976562e+01	1.044830007389043942e+02	5.422500015895833059e+01
1.211554946899414062e+02	3.769680023193359375e+01	1.054917006650166371e+02	5.380350014306389994e+01
1.228311843872070312e+02	3.775098419189453125e+01	1.065595305985176537e+02	5.339415012875888777e+01
1.247172164916992188e+02	3.787939453125000000e+01	1.076805775386685724e+02	5.299573511588436503e+01
1.268149795532226562e+02	3.805195999145507812e+01	1.088495197848043858e+02	5.260716160429733179e+01
1.291245880126953125e+02	3.823760604858398438e+01	1.100615678063266216e+02	5.222744544386895882e+01
1.316808013916015625e+02	3.838347625732421875e+01	1.113124110256966475e+02	5.185570089948348738e+01
1.345689239501953125e+02	3.845998382568359375e+01	1.125981699231296602e+02	5.149113080953650012e+01
1.378033294677734375e+02	3.846263504028320312e+01	1.139153529308193669e+02	5.113301772858428507e+01
1.413686828613281250e+02	3.839162063598632812e+01	1.152608176377401037e+02	5.078071595572726693e+01
1.451129150390625000e+02	3.824748611450195312e+01	1.166317358739687791e+02	5.043364436015595942e+01
1.489425354003906250e+02	3.803448867797851562e+01	1.180255622865745835e+02	5.009127992414174457e+01
1.528105926513671875e+02	3.776173019409179688e+01	1.194400060579198026e+02	4.975315193172896500e+01
1.566756286621093750e+02	3.743900299072265625e+01	1.208730054521305135e+02	4.941883673855742387e+01
1.605032653808593750e+02	3.707528686523437500e+01	1.223227049069201371e+02	4.908795306470303643e+01
1.642665863037109375e+02	3.667859649658203125e+01	1.237874344162308091e+02	4.876015775823416476e+01
1.679455108642578125e+02	3.625588607788085938e+01	1.252656909746103935e+02	4.843514198241211233e+01
1.715258026123046875e+02	3.581319427490234375e+01	1.267561218771520544e+02	4.811262778417226116e+01
1.749977569580078125e+02	3.535576248168945312e+01	1.282575096894395017e+02	4.779236500575643731e+01
1.783551483154296875e+02	3.488815689086914062e+01	1.297687587204982549e+02	4.747412850518219329e+01
-1.784248809814453125e+02	3.440838623046875000e+01	1.312888828484511237e+02	4.715771565466539528e+01
-1.755426025390625000e+02	3.385943603515625000e+01	1.328169945636086595e+02	4.684294408920023045e+01
-1.729634704589843750e+02	3.326039123535156250e+01	1.343522951072504839e+02	4.652964968028157955e+01
-1.706491699218750000e+02	3.262866592407226562e+01	1.358940655965281223e+02	4.621768471225481534e+01
-1.685631561279296875e+02	3.197961807250976562e+01	1.374416590368779794e+02	4.590691624103074275e+01
-1.666720581054687500e+02	3.132582283020019531e+01	1.389944931331928615e+02	4.559722461692901163e+01
-1.649702606201171875e+02	3.065277290344238281e+01	1.405520438198762747e+02	4.528850215523754486e+01
-1.634299163818359375e+02	2.996751976013183594e+01	1.421138394378913290e+02	4.498065193971518738e+01
-1.620279235839843750e+02	2.927832412719726562e+01	1.436794554941048716e+02	4.467358674574501265e+01
-1.607376098632812500e+02	2.859223175048828125e+01	1.452485099446970480e+02	4.436722807117192957e+01
-1.592973785400390625e+02	2.789038467407226562e+01	1.468206589502300403e+02	4.406150526405609469e+01
-1.577255706787109375e+02	2.716302871704101562e+01	1.483955930552097016e+02	4.375635473765186134e+01
-1.560690612792968750e+02	2.641950416564941406e+01	1.499730337496914387e+02	4.345171926388802319e+01
-1.543695220947265625e+02	2.567073440551757812e+01	1.515527303747249448e+02	4.314754733750062599e+01
-1.526603240966796875e+02	2.492606544494628906e+01	1.531344573372551565e+02	4.284379260375193610e+01
-1.509666748046875000e+02	2.419327545166015625e+01	1.547180116035322897e+02	4.254041334337815528e+01
-1.493062591552734375e+02	2.347862052917480469e+01	1.563032104431817686e+02	4.223737200904174216e+01
-1.476905822753906250e+02	2.278694725036621094e+01	1.578898893988662451e+02	4.193463480813898769e+01
-1.461261901855468750e+02	2.212189102172851562e+01	1.594779004589823330e+02	4.163217132732646775e+01
-1.446158752441406250e+02	2.148604202270507812e+01	1.610671104130867946e+02	4.132995419459518871e+01
-1.431597290039062500e+02	2.088111305236816406e+01	1.626573993717807696e+02	4.102795877513706557e+01
-1.417560577392578125e+02	2.030813026428222656e+01	1.642486594346053721e+02	4.072616289762479624e+01
-1.404019775390625000e+02	1.976762580871582031e+01	1.658407934911475365e+02	4.042454660786368237e+01
-1.390937652587890625e+02	1.925956344604492188e+01	1.674337141420354556e+02	4.012309194707868443e+01
-1.378273620605468750e+02	1.878355026245117188e+01	1.690273427278345935e+02	3.982178275237220788e+01
-1.365985107421875000e+02	1.833901596069335938e+01	1.706216084550538028e+02	3.952060447713635938e+01
-1.354030303955078125e+02	1.792517852783203125e+01	1.722164476095511247e+02	3.921954402942407825e+01
-1.342369079589843750e+02	1.754111862182617188e+01	1.738118028485986883e+02	3.891858962648308307e+01
-1.330962829589843750e+02	1.718581581115722656e+01	1.754076225637415121e+02	3.861773066383618414e+01
-1.319774780273437500e+02	1.685816764831542969e+01	1.770038603073700187e+02	3.831695759745392849e+01
-1.308771514892578125e+02	1.655702590942382812e+01	1.786004742766356799e+02	3.801626183770988376e+01
-1.297920989990234375e+02	1.628121185302734375e+01	-1.798025731510252001e+02	3.771563565394032480e+01
-1.287194061279296875e+02	1.602952957153320312e+01	-1.782053158359199756e+02	3.741507208854773125e+01
-1.276540374755859375e+02	1.579909038543701172e+01	-1.766077842523253025e+02	3.711456487969431350e+01
-1.265927734375000000e+02	1.558778285980224609e+01	-1.750100058270900831e+02	3.681410839172623639e+01
-1.255350646972656250e+02	1.539523983001708984e+01	-1.734120052443784061e+02	3.651369755255502270e+01
-1.244797897338867188e+02	1.522090911865234375e+01	-1.718138047199379059e+02	3.621332779730092710e+01
-1.234255599975585938e+02	1.506409645080566406e+01	-1.702154242479413995e+02	3.591299501757224988e+01
-1.223709106445312500e+02	1.492402648925781250e+01	-1.686168818231446096e+02	3.561269551581642645e+01
-1.213286972045898438e+02	1.481197547912597656e+01	-1.670181936408274339e+02	3.531242596423618352e+01
-1.202982788085937500e+02	1.472741794586181641e+01	-1.654193742767420190e+02	3.501218336781391116e+01
-1.192722625732421875e+02	1.466425895690917969e+01	-1.638204368490651461e+02	3.471196503103390540e+01
-1.182452316284179688e+02	1.461843013763427734e+01	-1.622213931641559554e+02	3.441176852793189056e+01
-1.172131500244140625e+02	1.458710002899169922e+01	-1.606222538477376816e+02	3.411159167514013291e+01
-1.161730346679687500e+02	1.456823158264160156e+01	-1.590230284629612356e+02	3.381143250762746533e+01
-1.151226196289062500e+02	1.456027317047119141e+01	-1.574237256166624377e+02	3.351128925686605697e+01
-1.140602111816406250e+02	1.456198692321777344e+01	-1.558243530549935087e+02	3.321116033118085653e+01
-1.129846038818359375e+02	1.457233715057373047e+01	-1.542249177494914818e+02	3.291104429806417642e+01
-1.118948974609375000e+02	1.459041976928710938e+01	-1.526254259745396382e+02	3.261093986825919444e+01
-1.107905197143554688e+02	1.461544418334960938e+01	-1.510258833770830051e+02	3.231084588143463066e+01
-1.096710586547851562e+02	1.464668369293212891e+01	-1.494262950393720075e+02	3.201076129329256048e+01
-1.085378112792968750e+02	1.468215274810791016e+01	-1.478266655354321415e+02	3.171068516396471537e+01
-1.073980560302734375e+02	1.471388912200927734e+01	-1.462269989818862257e+02	3.141061664756960781e+01
-1.062471008300781250e+02	1.474173069000244141e+01	-1.446272990836949361e+02	3.111055498281404397e+01
-1.050839996337890625e+02	1.476472759246826172e+01	-1.430275691753227818e+02	3.081049948453407694e+01
-1.039078826904296875e+02	1.478252696990966797e+01	-1.414278122577878207e+02	3.051044953608203869e+01
-1.027182006835937500e+02	1.479525756835937500e+01	-1.398280310320063506e+02	3.021040458247525606e+01
-1.015146636962890625e+02	1.480335044860839844e+01	-1.382282279288030509e+02	2.991036412422914381e+01
-1.002971954345703125e+02	1.480737400054931641e+01	-1.366284051359200760e+02	2.961032771180766687e+01
-9.906590270996093750e+01	1.480796146392822266e+01	-1.350285646223253764e+02	2.931029494062828533e+01
-9.782102966308593750e+01	1.480578613281250000e+01	-1.334287081600901672e+02	2.901026544656685502e+01
-9.656296539306640625e+01	1.480147933959960938e+01	-1.318288373440784653e+02	2.871023890191154138e+01
-9.529222106933593750e+01	1.479568099975585938e+01	-1.302289536096679683e+02	2.841021501172181729e+01
-9.400935363769531250e+01	1.478898715972900391e+01	-1.286290582486984988e+02	2.811019351055104210e+01
-9.271499633789062500e+01	1.478197383880615234e+01	-1.270291524238259484e+02	2.781017415949731131e+01
-9.140982818603515625e+01	1.477521228790283203e+01	-1.254292371814406692e+02	2.751015674354892937e+01
-9.009454345703125000e+01	1.476924610137939453e+01	-1.238293134632939285e+02	2.721014106919544417e+01
-8.876982879638671875e+01	1.476463603973388672e+01	-1.222293821169618440e+02	2.691012696227732093e+01
-8.752694702148437500e+01	1.476675796508789062e+01	-1.206294439052630025e+02	2.661011426605102415e+01
-8.638981628417968750e+01	1.477308845520019531e+01	-1.190294995147339989e+02	2.631010283944729622e+01
-8.534738159179687500e+01	1.478053092956542969e+01	-1.174295495632579076e+02	2.601009255550399502e+01
-8.438763427734375000e+01	1.478715610504150391e+01	-1.158295946069294615e+02	2.571008329995503416e+01
-8.349948883056640625e+01	1.479164218902587891e+01	-1.142296351462338322e+02	2.541007496996092030e+01
-8.267306518554687500e+01	1.479325771331787109e+01	-1.126296716316077919e+02	2.511006747296618968e+01
-8.189981079101562500e+01	1.479172039031982422e+01	-1.110297044684443222e+02	2.481006072567094733e+01
-8.117240142822265625e+01	1.478709983825683594e+01	-1.094297340215972127e+02	2.451005465310528919e+01
-8.047948455810546875e+01	1.477471828460693359e+01	-1.078297606194348361e+02	2.421004918779616588e+01
-7.981731414794921875e+01	1.475533962249755859e+01	-1.062297845574886566e+02	2.391004426901799107e+01
-7.918283843994140625e+01	1.473045921325683594e+01	-1.046298061017370884e+02	2.361003984211763296e+01
-7.857319641113281250e+01	1.470145130157470703e+01	-1.030298254915607288e+02	2.331003585790723420e+01
-7.798580932617187500e+01	1.466958808898925781e+01	-1.014298429424020043e+02	2.301003227211794666e+01
-7.741838836669921875e+01	1.463604068756103516e+01	-9.982985864815913146e+01	2.271002904490755014e+01
-7.686897277832031250e+01	1.460188770294189453e+01	-9.822987278334053940e+01	2.241002614041821417e+01
-7.633586883544921875e+01	1.456813144683837891e+01	-9.662988550500375595e+01	2.211002352637784441e+01
-7.581763458251953125e+01	1.453569126129150391e+01	-9.502989695450072816e+01	2.181002117374151439e+01
-7.531099700927734375e+01	1.450443267822265625e+01	-9.342990725904799376e+01	2.151001905636882583e+01
-7.473700714111328125e+01	1.447387313842773438e+01	-9.182991653314051916e+01	2.121001715073334992e+01
-7.408761596679687500e+01	1.444604110717773438e+01	-9.022992487982379828e+01	2.091001543566144605e+01
-7.337570953369140625e+01	1.442233371734619141e+01	-8.862993239183870742e+01	2.061001389209675239e+01
-7.261238861083984375e+01	1.440351676940917969e+01	-8.702993915265219016e+01	2.031001250288849747e+01
-7.180698394775390625e+01	1.439002513885498047e+01	-8.542994523738427404e+01	2.001001125260107116e+01
-7.096729278564453125e+01	1.438207530975341797e+01	-8.382995071364317141e+01	1.971001012734242153e+01
-7.009975433349609375e+01	1.437975406646728516e+01	-8.222995564227619525e+01	1.941000911460955791e+01
-6.920965576171875000e+01	1.438301944732666016e+01	-8.062996007804589738e+01	1.911000820315003068e+01
-6.830128479003906250e+01	1.439177894592285156e+01	-7.902996407023863412e+01	1.881000738283644935e+01
-6.737813568115234375e+01	1.440587997436523438e+01	-7.742996766321208213e+01	1.851000664455420619e+01
-6.693263244628906250e+01	1.448670482635498047e+01	-7.582997089688817027e+01	1.821000598010022031e+01
-6.666782379150390625e+01	1.456733417510986328e+01	-7.445197380719667990e+01	1.792700538209157912e+01
-6.651729583740234375e+01	1.468184185028076172e+01	-7.327377642647435607e+01	1.765930484388381672e+01
-6.643443298339843750e+01	1.483991622924804688e+01	-7.227539878382424376e+01	1.740537435949688927e+01
-6.638613891601562500e+01	1.503099060058593750e+01	-7.143885890543913320e+01	1.716383692354865786e+01
-6.635066223144531250e+01	1.524705696105957031e+01	-7.074797301489255119e+01	1.693345323119518753e+01
-6.631378173828125000e+01	1.548058605194091797e+01	-7.018817571340059658e+01	1.671310790807708813e+01
-6.625946807861328125e+01	1.573309040069580078e+01	-6.974635814205785778e+01	1.650179711727081511e+01
-6.617653656005859375e+01	1.599372673034667969e+01	-6.941072232784939899e+01	1.629861740554515492e+01
-6.606999969482421875e+01	1.626092338562011719e+01	-6.917065009506178797e+01	1.610275566499204558e+01
-6.594721984863281250e+01	1.653351020812988281e+01	-6.901658508555294702e+01	1.591348009849429523e+01
-6.581742858886718750e+01	1.680938911437988281e+01	-6.893992657699496363e+01	1.573013208864628432e+01
-6.569115447998046875e+01	1.708598327636718750e+01	-6.893293391929277902e+01	1.555211887978302876e+01
-6.557958984375000000e+01	1.736053657531738281e+01	-6.898864052736080055e+01	1.537890699180611698e+01
-6.549388885498046875e+01	1.763024520874023438e+01	-6.910077647462205164e+01	1.521001629262689114e+01
-6.544446563720703125e+01	1.789238929748535156e+01	-6.926369882715717097e+01	1.504501466336560256e+01
-6.544046783447265625e+01	1.814441680908203125e+01	-6.947232894443878592e+01	1.488351319703044062e+01
-6.550138854980468750e+01	1.836849975585937500e+01	-6.972209604999218868e+01	1.472516187732880866e+01
-6.563063049316406250e+01	1.855753326416015625e+01	-7.000888644499032409e+01	1.456964568959733697e+01
-6.582595062255859375e+01	1.871208000183105469e+01	-7.032899780048859384e+01	1.441668112063899798e+01
-6.608467102050781250e+01	1.883441162109375000e+01	-7.067909802043709533e+01	1.426601300857646848e+01
-6.640423583984375000e+01	1.892721176147460938e+01	-7.105618821839067323e+01	1.411741170772023857e+01
-6.678208160400390625e+01	1.899338722229003906e+01	-7.145756939654891937e+01	1.397067053694963690e+01
-6.721567535400390625e+01	1.903586006164550781e+01	-7.188081245689137688e+01	1.382560348325607080e+01
-6.770246124267578125e+01	1.905748367309570312e+01	-7.232373121119951520e+01	1.368204313493187740e+01
-6.823984527587890625e+01	1.906095886230468750e+01	-7.278435809007690693e+01	1.353983882144006934e+01
-6.882521820068359375e+01	1.904882049560546875e+01	-7.326092228106654147e+01	1.339885493929746829e+01
-6.945594787597656250e+01	1.902339553833007812e+01	-7.375183005295720307e+01	1.325896944536911271e+01
-7.012934112548828125e+01	1.898680305480957031e+01	-7.425564704765882595e+01	1.312007250083362742e+01
-7.084270477294921875e+01	1.894095420837402344e+01	-7.477108234289023869e+01	1.298206525075167761e+01
-7.159332275390625000e+01	1.888756752014160156e+01	-7.529697410859853335e+01	1.284485872567793940e+01
-7.237847900390625000e+01	1.882814407348632812e+01	-7.583227669773599189e+01	1.270837285311152876e+01
-7.319546508789062500e+01	1.876403427124023438e+01	-7.637604902795972350e+01	1.257253556780173653e+01
-7.404156494140625000e+01	1.869637680053710938e+01	-7.692744412516105967e+01	1.243728201102296893e+01
-7.491414642333984375e+01	1.862617874145507812e+01	-7.748569971264228684e+01	1.230255380992203307e+01
-7.581056213378906250e+01	1.855429267883300781e+01	-7.805012974137534343e+01	1.216829842893127811e+01
-7.672825622558593750e+01	1.848143386840820312e+01	-7.862011676723513176e+01	1.203446858603951242e+01
-7.759598541259765625e+01	1.840620422363281250e+01	-7.919510509050893177e+01	1.190102172743693920e+01
-7.839913940429687500e+01	1.833069992065429688e+01	-7.977459458145538918e+01	1.176791955469460937e+01
-7.914502716064453125e+01	1.825608253479003906e+01	-8.035813512330717856e+01	1.163512759922656059e+01
-7.984207153320312500e+01	1.818323707580566406e+01	-8.094532161097376388e+01	1.150261483930533046e+01
-8.049814605712890625e+01	1.811276054382324219e+01	-8.153578944987371813e+01	1.137035335537614955e+01
-8.112033081054687500e+01	1.804494285583496094e+01	-8.212921050488365893e+01	1.123831801983997281e+01
-8.171481323242187500e+01	1.797993278503417969e+01	-8.272528945439263737e+01	1.110648621785738044e+01
-8.228684997558593750e+01	1.791769599914550781e+01	-8.332376050895064168e+01	1.097483759607304066e+01
-8.284085845947265625e+01	1.785812187194824219e+01	-8.392438445805289859e+01	1.084335383646709161e+01
-8.338052368164062500e+01	1.780105018615722656e+01	-8.452694601224494875e+01	1.071201845282181431e+01
-8.391246795654296875e+01	1.773671150207519531e+01	-8.513125141101777160e+01	1.058081660754102948e+01
-8.445160675048828125e+01	1.766194343566894531e+01	-8.573712626991331831e+01	1.044973494678836090e+01
-8.514945220947265625e+01	1.758292961120605469e+01	-8.634441364291930654e+01	1.031876145211094276e+01
-8.599709320068359375e+01	1.749472808837890625e+01	-8.695297227862471345e+01	1.018788530690122229e+01
